Cruise_moc_net,Cruise,year,month,day,D_N,tow,net,ID,station,Latitude,Longitude,yrday_local,hhmm,flow,vol_filt,min_press,max_press,temp,sal,max depth,min depth,CTD used,avg. t,avg sal,avg fluor,max fluor,avg o2,avg PAR,DIC(umol/kg),TA_final(umolkg-1),Si_um/kg ,pH_corr(2),PO4_um/kg,NO2+NO3 (um/kg),uM NH4
OC473_m12_n9,OC473,2011,8,21,N,12,9,12.09,21,44.855,-41.922,233.998241,2357.467,3,20.6,0.4,1.7,22.4622,34.72,0,0,2136,26.1694,36.2337,0.0617,0.0617,196.714,0.000000000001,2009.06533090838,2309.96227839106,1.57327435083166,8.03382211884258,0.11834026917824,0,0
OC473_m13_n0,OC473,2011,8,22,D,13,0,13,21,45.0127,-42.0055,234.210069,502.499,541,3643.3,2.3,1007.9,10.291772173913,35.179672173913,1000,0,2136,9.70272758274826,35.2643394182547,0.0793313941825476,0.0793313941825476,204.172519558676,0.000000000001,2128.73479540444,2336.55750486149,6.98878110262571,7.84412307053286,0.45484712000277,10.3113105727477,0
OC473_m13_n1,OC473,2011,8,22,D,13,1,13.01,21,45.0251,-41.9384,234.263507,619.45,310,1507.2,808.4,1002,5.03194102564103,34.9492589743589,1000,800,2136,5.07039701492537,34.9893825870647,0.0194825870646766,0.0194825870646766,237.763810945274,0.000000000001,2165.79809100512,2312.71880174393,12.1427649904104,7.71134347076304,0.797703416067969,16.840182548694,0
OC473_m13_n2,OC473,2011,8,22,D,13,2,13.02,21,45.0215,-41.916,234.28162,645.533,222,1030.2,600.7,807.8,6.30417045454546,34.9929053030303,800,600,2136,6.288692039801,35.0333179104478,0.01998407960199,0.01998407960199,203.000084577114,0.000000000001,2177.99497676049,2313.38340175292,13.3540866827335,7.69817272167593,0.932111813638357,18.5505819572105,0
OC473_m13_n3,OC473,2011,8,22,D,13,3,13.03,21,45.0182,-41.9008,234.293889,703.2,248,1201.1,401.6,599.6,8.63058766233767,35.0728928571428,600,400,2136,8.72072587064677,35.1207676616915,0.0219791044776119,0.0219791044776119,175.921651741294,0.000000000001,2168.0922595027,2316.03782926508,11.6472623583662,7.72367130486973,0.848085021545394,17.3686989821182,0
OC473_m13_n4,OC473,2011,8,22,D,13,4,13.04,21,45.0141,-41.8819,234.308206,723.817,230,1132.2,201,400.7,12.1790137457045,35.4757697594502,400,200,2136,12.4862064676617,35.5497139303483,0.017671144278607,0.017671144278607,191.711373134328,0.000000000001,2142.03022095646,2343.95264700414,6.67349014526745,7.83767777485503,0.459287791709531,11.0415910025098,0
OC473_m13_n5,OC473,2011,8,22,D,13,5,13.05,21,45.0106,-41.8634,234.321725,743.284,123,618.5,101.1,200.6,14.0620506329114,35.7576962025316,200,100,2136,14.2625099009901,35.8064069306931,0.0922940594059406,0.0922940594059406,205.969366336634,0.000000000001,2128.5510941078,2357.54444065752,4.81293727022038,7.89227176973489,0.219384217863105,7.85300296641161,0
OC473_m13_n6,OC473,2011,8,22,D,13,6,13.06,21,45.0084,-41.8529,234.329063,753.851,86,441.1,51.7,100.8,15.705701754386,36.0049298245614,100,50,2136,16.0784450980392,35.9840274509804,0.724388235294118,0.724388235294118,209.266882352941,0.000000000001,2116.69028787181,2366.37374698076,3.07681034344966,7.92851655386607,0.135512940460724,4.63672998776726,0
OC473_m13_n7,OC473,2011,8,22,D,13,7,13.07,21,45.0066,-41.8452,234.334363,801.483,85,451.5,26,51.6,17.3072869565217,35.2708434782609,50,25,2136,18.0296769230769,35.1416615384615,0.557153846153846,0.557153846153846,244.784192307692,0.000000000001,2054.00596629654,2336.65058855466,2.28469852860282,7.99522024396775,0.113959714435832,0.735954697565662,0
OC473_m13_n8,OC473,2011,8,22,D,13,8,13.08,21,45.0047,-41.8374,234.339699,809.167,95,522.8,0.1,25.8,21.6419343065694,34.4094671532847,25,0,2136,22.2244045454545,34.5932454545455,0.184740909090909,0.184740909090909,212.745818181818,0.000000000001,2011.41141729658,2310.5191507291,2.15099845396644,8.03246375061696,0.112230968210067,0.495143739294913,0
